"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06047","0","10","70","0","2019","1","","Merced County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6765,77775,78690,79148,827404889,325735849,14328576,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",140,2.1,1991,2.6,1003,1.3,1444,1.9,26901407,3.4,9852578,3.1,62725,0.4,11,1.4
"06047","0","10","70","0","2019","2","","Merced County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6801,81219,84880,83241,875121471,107116184,4996926,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",147,2.2,1924,2.4,2451,3.0,1342,1.6,39572506,4.7,-3122007,-2.8,-179594,-3.5,19,2.4
"06047","1","10","71","0","2019","1","","Merced County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,722,723,725,11890340,0,0,1264,"",0.68,0.48,0.48,0.48,0.58,0.00,0.00,1.21,"",2,8.0,-28,-3.7,-34,-4.5,-30,-4.0,-1493426,-11.2,0,0.0,0,0.0,-101,-7.4
"06047","1","10","71","0","2019","2","","Merced County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,725,724,723,12368473,0,0,1314,"",0.68,0.47,0.45,0.46,0.50,0.00,0.00,1.09,"",1,3.8,-31,-4.1,-34,-4.5,-26,-3.5,28379,0.2,0,0.0,0,0.0,56,4.5
"06047","1","102","72","0","2019","1","","Merced County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,722,723,725,11890340,0,0,1264,"",0.68,0.49,0.49,0.49,0.59,0.00,0.00,1.21,"",2,8.0,-28,-3.7,-34,-4.5,-30,-4.0,-1493426,-11.2,0,0.0,0,0.0,-101,-7.4
"06047","1","102","72","0","2019","2","","Merced County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,725,724,723,12368473,0,0,1314,"",0.68,0.48,0.46,0.47,0.51,0.00,0.00,1.09,"",1,3.8,-31,-4.1,-34,-4.5,-26,-3.5,28379,0.2,0,0.0,0,0.0,56,4.5
"06047","1","1021","73","0","2019","1","","Merced County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,256,249,255,3333941,0,0,1012,"",0.90,0.71,0.69,0.70,0.91,0.00,0.00,1.31,"",2,12.5,16,6.7,-1,-0.4,3,1.2,134616,4.2,0,0.0,0,0.0,17,1.7
"06047","1","1021","73","0","2019","2","","Merced County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,254,254,254,3866115,0,0,1171,"",0.90,0.69,0.66,0.67,0.85,0.00,0.00,1.26,"",1,5.9,2,0.8,-4,-1.6,3,1.2,143602,3.9,0,0.0,0,0.0,42,3.7
"06047","1","1023","73","0","2019","1","","Merced County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14245,0,0,1096,"",1.90,0.15,0.15,0.15,0.11,0.00,0.00,0.75,"",0,0.0,-2,-66.7,-2,-66.7,-1,-50.0,-45213,-76.0,0,0.0,0,0.0,-619,-36.1
"06047","1","1023","73","0","2019","2","","Merced County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13609,0,0,1047,"",1.93,0.15,0.15,0.15,0.10,0.00,0.00,0.65,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-15657,-53.5,0,0.0,0,0.0,-79,-7.0
